age,activity,years_activity,monthly_income,transaction_freq,income_volatility,tontine_contribution,tontine_regularity,expenses_ratio,existing_debt,default_risk
59,service,13,57543,37,0.66,21438,0.74,0.95,132311,0
49,service,10,418035,110,0.9,45411,0.93,0.78,234746,1
35,artisan,7,476712,50,0.82,31399,0.92,0.69,245546,1
28,service,10,110692,55,0.56,24846,0.66,1.19,196733,1
41,artisan,3,270156,44,0.83,20708,0.91,0.79,126945,1
59,agriculture,2,273992,143,0.1,49039,0.52,1.13,45272,1
39,artisan,9,356569,91,0.88,15998,0.8,0.66,146470,1
43,artisan,8,88756,124,0.49,35678,0.62,0.65,120030,1
31,artisan,13,68888,56,0.68,15682,0.56,0.52,6570,1
31,service,12,216807,19,0.76,13519,0.54,0.96,9110,1
44,service,10,359439,65,0.67,36480,0.85,0.76,79141,0
56,artisan,7,164352,39,0.53,24694,0.67,1.11,12115,1
44,service,9,395186,118,0.48,8300,0.86,0.83,39062,0
23,commerce,4,135999,14,0.77,11722,0.53,1.18,285055,1
42,commerce,13,67955,128,0.26,44986,0.66,0.63,104061,1
22,service,4,349985,42,0.87,29160,0.77,1.11,294700,1
44,service,1,120640,127,0.67,25059,0.9,1.04,1969,1
50,artisan,8,246582,74,0.26,40822,0.66,1.04,121863,1
58,agriculture,14,478127,20,0.69,18575,0.81,1.09,272369,1
22,service,14,269798,94,0.52,12970,0.94,1.03,123008,1
41,commerce,12,450573,35,0.67,39911,0.81,0.94,154268,0
53,artisan,3,475695,72,0.71,26591,0.62,0.59,105823,1
32,service,7,111476,95,0.17,36821,0.51,0.52,275813,1
42,commerce,12,356955,68,0.5,14503,0.94,1.14,110677,1
45,commerce,2,217280,36,0.85,23922,0.51,0.93,246958,1
47,agriculture,2,201222,107,0.36,17175,0.94,1.06,48320,1
48,artisan,7,121180,114,0.58,46124,0.76,0.84,146649,0
36,artisan,6,224358,108,0.4,26389,0.97,0.58,125354,0
35,agriculture,3,162856,138,0.46,5822,0.9,0.59,88009,0
23,agriculture,9,380594,64,0.54,22327,1.0,0.98,257437,1
57,artisan,10,464568,15,0.54,11150,0.68,0.8,28625,1
27,artisan,14,236141,104,0.26,9425,0.88,0.64,212112,1
41,service,13,424032,142,0.65,21032,0.7,0.84,286233,1
29,service,6,160448,111,0.17,7198,0.74,0.54,36487,0
59,agriculture,10,64397,12,0.21,25079,0.81,0.91,228071,1
38,service,10,484771,32,0.1,41220,0.94,0.69,173895,0
24,commerce,6,228031,62,0.19,46874,0.99,1.06,101376,1
45,service,1,443944,92,0.48,18859,0.88,0.72,243341,1
34,service,4,493733,94,0.58,36419,0.71,0.82,281652,1
29,commerce,10,169180,87,0.74,13705,0.71,0.51,158056,1
46,agriculture,6,116234,119,0.19,47880,0.87,0.55,110169,0
22,commerce,6,89954,10,0.78,28236,0.62,0.77,270269,1
40,service,11,228352,60,0.7,27419,0.56,0.84,36059,1
48,agriculture,12,129459,13,0.43,24978,0.68,0.92,103409,1
27,service,5,459995,122,0.85,42609,0.64,0.7,5704,1
28,commerce,1,245004,41,0.89,20358,0.65,0.99,204456,1
55,commerce,8,467682,43,0.26,39177,0.62,1.1,218200,1
34,service,5,480155,101,0.4,34378,0.52,1.05,111279,1
37,artisan,12,250968,104,0.84,42334,0.51,0.53,158280,1
56,artisan,12,478486,81,0.68,16382,0.99,0.84,118516,0
24,commerce,12,109163,48,0.14,19596,0.71,0.57,197096,0
22,commerce,5,101934,127,0.73,38572,0.69,0.67,232549,1
26,artisan,7,245967,12,0.76,18221,0.84,1.19,29165,1
24,artisan,4,475523,132,0.7,6279,0.61,0.6,67203,1
49,service,6,366242,59,0.74,12083,0.97,0.85,266258,1
38,service,13,55486,21,0.76,48861,0.89,0.93,36321,1
46,artisan,4,189407,63,0.25,22771,0.54,0.99,245014,1
54,service,14,399044,142,0.29,34975,0.71,0.89,156498,0
30,service,3,176020,66,0.61,24063,0.94,0.51,17772,0
56,agriculture,7,152795,121,0.83,7106,0.97,0.73,265856,1
34,service,8,270184,56,0.35,29557,0.73,0.86,238389,1
51,commerce,4,192202,94,0.57,25607,0.81,0.56,115142,0
35,service,13,399652,75,0.65,42599,0.58,0.75,91736,1
28,service,2,287027,84,0.46,33529,1.0,0.52,51924,0
34,artisan,12,168324,112,0.67,40954,0.62,0.56,3726,1
43,commerce,10,372710,47,0.82,32856,0.97,0.78,27723,1
41,service,14,247775,59,0.6,7573,0.82,0.59,234182,1
36,service,3,339336,107,0.53,17808,0.8,0.9,140180,0
38,agriculture,1,313206,91,0.45,40367,0.76,0.98,208786,1
44,service,8,134076,39,0.56,41801,0.62,1.06,35643,1
46,service,3,139780,88,0.38,46196,0.59,0.64,162396,1
45,agriculture,12,202617,100,0.41,39072,0.61,0.62,214432,1
49,artisan,10,71689,61,0.53,28752,0.59,0.57,139999,1
35,service,7,323318,88,0.15,22685,0.89,0.95,79973,0
21,agriculture,10,400605,39,0.28,46401,0.68,0.99,109834,1
45,commerce,5,438318,115,0.53,16372,0.53,0.52,236386,1
27,artisan,10,415177,60,0.45,13996,0.98,1.16,287681,1
29,commerce,5,59348,90,0.37,21458,0.94,0.54,107522,0
44,commerce,14,466930,142,0.68,36889,0.96,0.88,22612,0
21,agriculture,7,88102,38,0.65,31665,1.0,1.0,225049,1
28,service,9,124460,141,0.23,43243,0.59,1.11,268615,1
44,agriculture,12,414778,147,0.8,36653,0.7,1.0,166703,1
31,agriculture,5,139930,83,0.5,31657,0.88,1.06,240069,1
37,agriculture,1,56801,26,0.69,44952,0.85,0.74,223131,1
28,agriculture,10,153150,93,0.56,27180,0.58,1.07,31348,1
55,artisan,10,253339,78,0.9,36896,0.91,0.56,195804,1
